program_id,organization_name,organization_type,sport_type,program_name,program_type,skill_level,address_street,address_city,address_state,address_zip,county,metro_area,latitude,longitude,phone,email,contact_name,director_name,website,social_media_facebook,social_media_instagram,age_min,age_max,age_groups,gender,team_based,season,registration_fee,monthly_fee,annual_fee,scholarship_available,scholarship_percentage,equipment_provided,transportation_provided,reviews_text,average_rating,review_count,verified,data_source,last_verified,notes,keywords_long_tail,facility_type,facility_amenities,coaches_available,certifications,parent_involvement
FL_00011,City of St. Augustine Beach / YMCA,City Parks & Recreation,Basketball,St. Augustine YMCA Winter Youth Basketball League,League,all_levels,St. Augustine YMCA / Solomon Calhoun Community Center (various sites),St. Augustine Beach / YMCA,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,Unknown,Unknown,Varies,unknown,Yes,winter,$76 members / $133 non-members,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com | user_addition,2025-12-13,Winter youth basketball league run by YMCA; volunteers serve as coaches | Facility: Solomon Calhoun Community Center. Volunteers coach; Reg Oct-Nov. Season detail: Winter.,"youth basketball St. Augustine Beach / YMCA florida,basketball for kids St. Augustine Beach / YMCA fl,st. augustine ymca winter youth basketball league St. Augustine Beach / YMCA fl",Unknown,Unknown,Yes,Unknown,Unknown
FL_00012,St. Augustine Little League,Little League,"Baseball, Softball, Tee Ball",St. Augustine Little League,League,all_levels,Solomon Calhoun Community Center / local fields,Unknown,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,16,5‑16,unknown,Yes,unknown,$80 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Players provide gloves and cleats; bats/helmets available; transportation required,"youth baseball, softball, tee ball St. Augustine Little League florida,baseball, softball, tee ball for kids St. Augustine Little League fl,st. augustine little league St. Augustine Little League fl",field,Unknown,Yes,Unknown,Unknown
FL_00013,St. Johns County Parks & Rec,County Parks & Recreation,Basketball,St. Johns County Youth Basketball,League,all_levels,"Solomon Calhoun Community Center, St. Augustine, FL",St. Augustine,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,9,14,9‑14,unknown,Yes,unknown,$30 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Divided into leagues by age group; transportation required,"youth basketball St. Johns County Parks & Rec florida,basketball for kids St. Johns County Parks & Rec fl,st. johns county youth basketball St. Johns County Parks & Rec fl",Unknown,Unknown,Yes,Unknown,Unknown
FL_00014,St. Augustine Pop Warner,Pop Warner Association,Football,St. Augustine Pop Warner Football,Program,all_levels,1600 Masters Dr,St. Augustine,FL,32084,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,15,5‑15,unknown,Unknown,fall,$150,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com | user_addition,2025-12-13,Includes uniform; transportation required | Facility: Joe Pomar Park. Includes uniform; Travel required for games. Season detail: Fall.,"youth football St. Augustine Pop Warner florida,football for kids St. Augustine Pop Warner fl,st. augustine pop warner football St. Augustine Pop Warner fl",park,Unknown,Unknown,Unknown,Unknown
FL_00015,St. Augustine Pop Warner,Pop Warner Association,Cheerleading,St. Augustine Pop Warner Cheerleading,Program,all_levels,"Joe Pomar Park, Masters Drive, St. Augustine, FL",St. Augustine,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,15,5‑15,unknown,Unknown,unknown,$200 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,"Includes uniform, shoes and pompoms; transportation required","youth cheerleading St. Augustine Pop Warner florida,cheerleading for kids St. Augustine Pop Warner fl,st. augustine pop warner cheerleading St. Augustine Pop Warner fl",park,Unknown,Unknown,Unknown,Unknown
FL_00016,Ancient City Soccer Club,Sports Club,Soccer,Ancient City Soccer Club,Program,all_levels,Gamble Rogers Middle School fields (ages 4‑12); other fields in St. Johns & Duval counties (ages 13‑19),Unknown,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,4,19,4‑19,unknown,Unknown,spring,$70 (age 4); $240 ages 5-6; $250 ages 7-10; $275 ages 11-16; $135 ages 17-19,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Cost includes both fall and spring for ages 5‑16; includes uniform and ball; shin guards and soccer socks required,"youth soccer Ancient City Soccer Club florida,soccer for kids Ancient City Soccer Club fl,ancient city soccer club Ancient City Soccer Club fl",school,Unknown,Unknown,Unknown,Unknown
FL_00017,First Tee North Florida,Other,Golf,First Tee North Florida Golf Programs,Program,all_levels,"St. Johns Golf & Country Club and The Golf Club at South Hampton, CR 210, St. Johns, FL",St. Johns,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,18,5‑18,unknown,Unknown,unknown,$45 per child for training membership; tournaments $20-$30 each,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Junior membership includes tote bag and course passes; scholarships available,"youth golf First Tee North Florida florida,golf for kids First Tee North Florida fl,first tee north florida golf programs First Tee North Florida fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00018,St. Johns County Parks & Recreation,County Parks & Recreation,Water Safety,Junior Lifeguard Program,Program,all_levels,Solomon Calhoun Community Center for try‑outs; sessions at Pier Park,Unknown,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,9,17,9‑17,unknown,Unknown,unknown,$150 per 5-day session,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,"Participants must pass swim assessment; includes bathing suit, hat & sun shirt","youth water safety St. Johns County Parks & Recreation florida,water safety for kids St. Johns County Parks & Recreation fl,junior lifeguard program St. Johns County Parks & Recreation fl",park,Unknown,Unknown,Unknown,Unknown
FL_00019,St. Johns County Parks & Recreation / Florida Wildlife Commission,County Parks & Recreation,Fishing,Fresh Water Fishing Camp,Camp,all_levels,Trout Creek on the St. Johns River (6795 Collier Rd off SR 13/16),Unknown,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,7,9,Rising 7th–9th graders,unknown,Unknown,unknown,$170 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,"Includes rod/reel, tackle box and tackle; transportation to Trout Creek required","youth fishing St. Johns County Parks & Recreation / Florida Wildlife Commission florida,fishing for kids St. Johns County Parks & Recreation / Florida Wildlife Commission fl,fresh water fishing camp St. Johns County Parks & Recreation / Florida Wildlife Commission fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00020,St. Johns County Parks & Recreation,County Parks & Recreation,Nature Camp,Nature Exploration Camp,Camp,all_levels,"Ketterlinus Gym, St. Augustine, FL",St. Augustine,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,12,Ages 5‑8 & 9‑12,unknown,Unknown,unknown,$100 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Two sessions based on age; transportation required,"youth nature camp St. Johns County Parks & Recreation florida,nature camp for kids St. Johns County Parks & Recreation fl,nature exploration camp St. Johns County Parks & Recreation fl",gym,Unknown,Unknown,Unknown,Unknown
FL_00021,St. Johns County Parks & Recreation,County Parks & Recreation,Multi‑Sport/Day Camp,Super Summer Spectacular Camp,Camp,all_levels,"Ketterlinus Gym or Solomon Calhoun Community Center, St. Augustine, FL",St. Augustine,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,12,5‑12,unknown,Unknown,summer,$100 per child,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Camp includes various activities; transportation required,"youth multi‑sport/day camp St. Johns County Parks & Recreation florida,multi‑sport/day camp for kids St. Johns County Parks & Recreation fl,super summer spectacular camp St. Johns County Parks & Recreation fl",gym,Unknown,Unknown,Unknown,Unknown
FL_00022,St. Johns County Parks & Recreation,County Parks & Recreation,Leadership/Training,Counselor in Training Program,Camp,all_levels,Ketterlinus Gym or Solomon Calhoun Community Center,Unknown,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,13,16,13‑16,unknown,Unknown,summer,Not specified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Teens gain leadership skills by assisting camp staff,"youth leadership/training St. Johns County Parks & Recreation florida,leadership/training for kids St. Johns County Parks & Recreation fl,counselor in training program St. Johns County Parks & Recreation fl",gym,Unknown,Unknown,Unknown,Unknown
FL_00023,St. Johns County YMCA,County Parks & Recreation,Triathlon,Kids Triathlon Club,Training,all_levels,"Solomon Calhoun Community Center or local venues, St. Augustine, FL",St. Augustine,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,13,5‑13,unknown,Unknown,unknown,$40 members / $80 non-members,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,"Youth triathlon training program; includes running, biking & swimming","youth triathlon St. Johns County YMCA florida,triathlon for kids St. Johns County YMCA fl,kids triathlon club St. Johns County YMCA fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00024,St. Johns County YMCA,County Parks & Recreation,Cross Country,Youth Cross Country,Program,all_levels,"Solomon Calhoun Community Center or local trails, St. Augustine, FL",St. Augustine,FL,Unknown,St. Johns County,St. Augustine,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,5,17,5‑17,unknown,Unknown,unknown,$75 members / $132 non-members,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Cross‑country running program for youth,"youth cross country St. Johns County YMCA florida,cross country for kids St. Johns County YMCA fl,youth cross country St. Johns County YMCA fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00025,First Coast YMCA,YMCA,Water Safety,Safety Around Water (SAW) Program,Program,all_levels,"40 E Adams St, Suite 210",Jacksonville,FL,32202,St. Johns County,St. Augustine,Unknown,Unknown,+1-904-296-3220,hello@fcymca.org,YMCA of Florida’s First Coast,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,6,12,6‑12,unknown,Unknown,unknown,Free for qualifying children,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Program teaches survival skills; available for children eligible for free/reduced lunch,"youth water safety First Coast YMCA florida,water safety for kids First Coast YMCA fl,safety around water (saw) program First Coast YMCA fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00026,First Coast YMCA,YMCA,Swimming,Swim Lessons – Group,Program,all_levels,"40 E Adams St, Suite 210",Jacksonville,FL,32202,St. Johns County,St. Augustine,Unknown,Unknown,+1-904-296-3220,hello@fcymca.org,YMCA of Florida’s First Coast,Unknown,https://www.staugbch.com/community/page/youth-activities,Unknown,Unknown,6,12,6 months‑12 years,unknown,Unknown,unknown,$38 per child per session,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.staugbch.com,2025-12-13,Private lessons available for ages 5‑15 ($120 for four lessons),"youth swimming First Coast YMCA florida,swimming for kids First Coast YMCA fl,swim lessons – group First Coast YMCA fl",Unknown,Unknown,Unknown,Unknown,Unknown
FL_00027,City of Temple Terrace – Parks & Recreation,City Parks & Recreation,Basketball,New Basketball League (Temple Terrace),League,all_levels,"Temple Terrace Family Recreation Complex, Temple Terrace, FL",Temple Terrace,FL,Unknown,Hillsborough County,Tampa Bay,Unknown,Unknown,+1-813-506-6600,Unknown,Family Recreation Complex,Unknown,https://www.templeterrace.gov/603/Athletics,Unknown,Unknown,Unknown,Unknown,Youth (ages not specified),unknown,Yes,winter,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.templeterrace.gov | user_addition,2025-12-13,City exploring interest for a youth basketball league; contact 813‑506‑6600 | Facility: Family Recreation Complex. Reg opens Oct 2025; Draft in Nov. Season detail: Winter 2025/26.,"youth basketball Temple Terrace florida,basketball for kids Temple Terrace fl,new basketball league (temple terrace) Temple Terrace fl",recreation_center,Unknown,Yes,Unknown,Unknown
FL_00028,City of Temple Terrace – Parks & Recreation,City Parks & Recreation,Football,Flag Football Clinic (Temple Terrace),Clinic,beginner,"113th Street Soccer Field #3 (6601 E. 113th St.), Temple Terrace, FL",Temple Terrace,FL,Unknown,Hillsborough County,Tampa Bay,Unknown,Unknown,+1-813-506-6600,Unknown,Family Recreation Complex,Unknown,https://www.templeterrace.gov/603/Athletics,Unknown,Unknown,5,6,5‑6,unknown,Unknown,unknown,$45 members / $55 non-members,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.templeterrace.gov,2025-12-13,Beginner‑friendly clinic teaching basics of flag football,"youth flag football Temple Terrace florida,flag football for kids Temple Terrace fl,flag football clinic (temple terrace) Temple Terrace fl",field,Unknown,Unknown,Unknown,Unknown
FL_00029,City of Temple Terrace – Parks & Recreation,City Parks & Recreation,Football,Youth Flag Football League (Temple Terrace),League,all_levels,"Family Recreation Complex & 113th Street Soccer Field, Temple Terrace, FL",Temple Terrace,FL,Unknown,Hillsborough County,Tampa Bay,Unknown,Unknown,+1-813-506-6600,Unknown,Family Recreation Complex,Unknown,https://www.templeterrace.gov/603/Athletics,Unknown,Unknown,6,12,6‑12,unknown,Yes,unknown,Not specified,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.templeterrace.gov,2025-12-13,Volunteer coaches needed; contact jswick@templeterrace.gov,"youth flag football Temple Terrace florida,flag football for kids Temple Terrace fl,youth flag football league (temple terrace) Temple Terrace fl",recreation_center,Unknown,Yes,Unknown,Unknown
FL_00030,City of Temple Terrace – Parks & Recreation,City Parks & Recreation,Basketball,Youth Basketball Clinic (Temple Terrace),Clinic,all_levels,"Temple Terrace Family Recreation Complex, Temple Terrace, FL",Temple Terrace,FL,Unknown,Hillsborough County,Tampa Bay,Unknown,Unknown,+1-813-506-6600,Unknown,Family Recreation Complex,Unknown,https://www.templeterrace.gov/603/Athletics,Unknown,Unknown,4,7,Ages 4–5 & 6–7,unknown,Unknown,unknown,$45 members / $55 non-members,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.templeterrace.gov,2025-12-13,Focus on fundamentals of basketball; max 10 participants per session,"youth basketball Temple Terrace florida,basketball for kids Temple Terrace fl,youth basketball clinic (temple terrace) Temple Terrace fl",recreation_center,Unknown,Unknown,Unknown,Unknown
FL_00031,City of Temple Terrace – Parks & Recreation,City Parks & Recreation,Multi‑Sport,Sports Night (Temple Terrace),Program,all_levels,"Temple Terrace Family Recreation Complex, Temple Terrace, FL",Temple Terrace,FL,Unknown,Hillsborough County,Tampa Bay,Unknown,Unknown,+1-813-506-6600,Unknown,Family Recreation Complex,Unknown,https://www.templeterrace.gov/603/Athletics,Unknown,Unknown,7,9,7‑9,unknown,Unknown,unknown,$45 members / $55 non-members,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.templeterrace.gov,2025-12-13,"Features a different sport each week (basketball, kickball, flag football, etc.)","youth multi‑sport Temple Terrace florida,multi‑sport for kids Temple Terrace fl,sports night (temple terrace) Temple Terrace fl",recreation_center,Unknown,Unknown,Unknown,Unknown
FL_00032,City of Temple Terrace – Parks & Recreation / All American Youth,City Parks & Recreation,Cheerleading,Cheerleading (Temple Terrace),Class,all_levels,"Omar K. Lightfoot Recreation Center, Temple Terrace, FL",Temple Terrace,FL,Unknown,Hillsborough County,Tampa Bay,Unknown,Unknown,+1-813-506-6600,Unknown,Family Recreation Complex,Unknown,https://www.templeterrace.gov/603/Athletics,Unknown,Unknown,Unknown,Unknown,Youth,unknown,Unknown,unknown,$6 members / $8 non-members per session,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,0.0,0,Yes,www.templeterrace.gov,2025-12-13,Introductory cheerleading classes; run by All American Youth,"youth cheerleading Temple Terrace florida,cheerleading for kids Temple Terrace fl,cheerleading (temple terrace) Temple Terrace fl",recreation_center,Unknown,Unknown,Unknown,Unknown
